State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,10/25/21,105271,65953,47
United States,10/24/21,19200,59129,94
United States,10/23/21,23914,64096,451
United States,10/22/21,74992,70018,316
United States,10/21/21,81153,72147,377
United States,10/20/21,78766,74100,532
United States,10/19/21,78380,76915,520
United States,10/18/21,57503,78197,23
United States,10/17/21,53964,79213,76
United States,10/16/21,65368,80692,825
United States,10/15/21,89901,81990,806
United States,10/14/21,94818,84435,498
United States,10/13/21,98472,86481,732
United States,10/12/21,87356,87974,649
United States,10/11/21,64614,90459,84
United States,10/10/21,64316,91921,161
United States,10/09/21,74458,93420,648
United States,10/08/21,107011,94806,544
United States,10/07/21,109143,96252,793
United States,10/06/21,108921,97726,10536
United States,10/05/21,104751,98780,238
United States,10/04/21,74853,100267,29
United States,10/03/21,74805,102265,207
United States,10/02/21,84164,103435,493
United States,10/01/21,117133,105532,1428
United States,09/30/21,119456,107369,1427
United States,09/29/21,116299,108927,1354
United States,09/28/21,115159,110590,1069
United States,09/27/21,88839,112915,613
United States,09/26/21,82996,113247,239
United States,09/25/21,98846,114255,646
United States,09/24/21,129993,116876,781
United States,09/23/21,130360,120043,1466
United States,09/22/21,127937,124472,445
United States,09/21/21,131436,129539,624
United States,09/20/21,91162,133685,33
United States,09/19/21,90057,136779,87
United States,09/18/21,117191,138910,575
United States,09/17/21,152162,142057,531
United States,09/16/21,161360,144844,540
United States,09/15/21,163409,149143,916
United States,09/14/21,160454,151724,660
United States,09/13/21,112826,144412,164
United States,09/12/21,104971,142374,79
United States,09/11/21,139221,143416,527
United States,09/10/21,171673,144095,349
United States,09/09/21,191451,145898,404
United States,09/08/21,181478,144694,1347
United States,09/07/21,109266,146232,90
United States,09/06/21,98562,156472,404
United States,09/05/21,112267,160450,277
United States,09/04/21,143970,160583,417
United States,09/03/21,184295,161181,388
United States,09/02/21,183024,161088,401
United States,09/01/21,192241,161749,323
United States,08/31/21,180946,161565,504
United States,08/30/21,126412,160744,83
United States,08/29/21,113196,159882,179
United States,08/28/21,148158,160759,361
United States,08/27/21,183644,160220,201
United States,08/26/21,187652,157917,253
United States,08/25/21,190947,155220,257
United States,08/24/21,175202,153301,367
United States,08/23/21,120378,151135,69
United States,08/22/21,119337,149965,70
United States,08/21/21,144382,148399,376
United States,08/20/21,167521,147601,1934
United States,08/19/21,168774,145083,204
United States,08/18/21,177516,143455,1040
United States,08/17/21,160043,140189,250
United States,08/16/21,112185,137792,130
United States,08/15/21,108376,135530,74
United States,08/14/21,138798,133522,167
United States,08/13/21,149894,131165,97
United States,08/12/21,157377,127858,266
United States,08/11/21,154653,124229,270
United States,08/10/21,143261,120808,183
United States,08/09/21,96354,117136,82
United States,08/08/21,94321,115032,42
United States,08/07/21,122301,112234,99
United States,08/06/21,126740,108082,7773
United States,08/05/21,131977,105419,234
United States,08/04/21,130705,100950,333
United States,08/03/21,117558,96020,322
United States,08/02/21,81625,91747,25
United States,08/01/21,74736,88388,44
United States,07/31/21,93238,85137,164
United States,07/30/21,108094,80613,334
United States,07/29/21,100697,75206,229
United States,07/28/21,96197,71009,120
United States,07/27/21,87647,66649,142
United States,07/26/21,58108,61746,36
United States,07/25/21,51980,58826,28
United States,07/24/21,61574,56389,122
United States,07/23/21,70242,53003,345
United States,07/22/21,71316,49246,283
United States,07/21/21,65680,45183,184
United States,07/20/21,53324,41688,136
United States,07/19/21,37668,39199,266
United States,07/18/21,34921,37312,45
United States,07/17/21,37875,35273,71
United States,07/16/21,43943,33347,42
United States,07/15/21,42876,31256,112
United States,07/14/21,41212,29512,106
United States,07/13/21,35904,27150,0
United States,07/12/21,24455,24436,0
United States,07/11/21,20649,22535,0
United States,07/10/21,24392,21369,0
United States,07/09/21,29307,20070,0
United States,07/08/21,30669,18362,0
United States,07/07/21,24676,16689,0
United States,07/06/21,16904,15721,0
United States,07/05/21,11149,15661,0
United States,07/04/21,12491,15622,4
United States,07/03/21,15299,15210,0
United States,07/02/21,17351,14862,0
United States,07/01/21,18957,14430,0
United States,06/30/21,17897,13924,0
United States,06/29/21,16485,13429,0
United States,06/28/21,10874,13063,0
United States,06/27/21,9611,12726,0
United States,06/26/21,12862,12622,0
United States,06/25/21,14329,12527,0
United States,06/24/21,15414,12154,0
United States,06/23/21,14434,11872,0
United States,06/22/21,13917,11742,0
United States,06/21/21,8517,11631,0
United States,06/20/21,8886,11613,0
United States,06/19/21,12192,11547,0
United States,06/18/21,11721,11515,0
United States,06/17/21,13440,11801,0
United States,06/16/21,13525,12201,0
United States,06/15/21,13139,13009,0
United States,06/14/21,8389,13188,0
United States,06/13/21,8424,13448,0
United States,06/12/21,11969,13783,0
United States,06/11/21,13724,14137,0
United States,06/10/21,16238,14799,1
United States,06/09/21,19185,15167,464
United States,06/08/21,14391,14820,0
United States,06/07/21,10209,14085,0
United States,06/06/21,10765,13913,0
United States,06/05/21,14450,14042,0
United States,06/04/21,18356,14202,0
United States,06/03/21,18818,14485,0
United States,06/02/21,16755,14904,0
United States,06/01/21,9242,15882,0
United States,05/31/21,9010,18015,1
United States,05/30/21,11665,19000,0
United States,05/29/21,15571,19492,0
United States,05/28/21,20336,20344,0
United States,05/27/21,21753,21408,0
United States,05/26/21,23600,22224,0
United States,05/25/21,24172,22873,0
United States,05/24/21,15908,23525,0
United States,05/23/21,15107,24094,0
United States,05/22/21,21533,24863,0
United States,05/21/21,27788,25858,0
United States,05/20/21,27460,26668,0
United States,05/19/21,28143,27830,0
United States,05/18/21,28739,28864,0
United States,05/17/21,19888,29695,0
United States,05/16/21,20493,30400,0
United States,05/15/21,28501,31229,42
United States,05/14/21,33456,32275,0
United States,05/13/21,35593,33734,0
United States,05/12/21,35381,34795,0
United States,05/11/21,34553,36251,0
United States,05/10/21,24826,37668,0
United States,05/09/21,26299,38909,0
United States,05/08/21,35823,40209,0
United States,05/07/21,43669,41839,0
United States,05/06/21,43019,43448,0
United States,05/05/21,45571,45391,0
United States,05/04/21,44472,46893,0
United States,05/03/21,33514,48028,0
United States,05/02/21,35398,48908,0
United States,05/01/21,47232,49518,0
United States,04/30/21,54933,50162,0
United States,04/29/21,56620,51435,0
United States,04/28/21,56088,52055,0
United States,04/27/21,52413,53249,0
United States,04/26/21,39674,54512,-9005
United States,04/25/21,39668,53821,0
United States,04/24/21,51743,54985,0
United States,04/23/21,63840,58113,0
United States,04/22/21,60962,59102,0
United States,04/21/21,64449,61045,0
United States,04/20/21,61254,62327,0
United States,04/19/21,34836,64248,0
United States,04/18/21,47811,67962,0
United States,04/17/21,73639,68278,0
United States,04/16/21,70766,67167,0
United States,04/15/21,74560,68378,0
United States,04/14/21,73425,68562,0
United States,04/13/21,74704,69401,0
United States,04/12/21,60831,68234,0
United States,04/11/21,50022,67677,0
United States,04/10/21,65863,66823,0
United States,04/09/21,79244,66300,72
United States,04/08/21,75851,64895,0
United States,04/07/21,79295,64597,0
United States,04/06/21,66535,63651,0
United States,04/05/21,56929,63224,0
United States,04/04/21,44050,63313,0
United States,04/03/21,62200,64388,0
United States,04/02/21,69405,64371,0
United States,04/01/21,73771,65428,0
United States,03/31/21,72673,64368,0
United States,03/30/21,63546,63787,0
United States,03/29/21,57547,63186,0
United States,03/28/21,51577,61986,0
United States,03/27/21,62082,60817,0
United States,03/26/21,76803,59994,0
United States,03/25/21,66349,57781,0
United States,03/24/21,68609,57266,0
United States,03/23/21,59340,56345,0
United States,03/22/21,49142,55612,0
United States,03/21/21,43394,54789,0
United States,03/20/21,56325,54594,0
United States,03/19/21,61308,54033,0
United States,03/18/21,62744,54155,0
United States,03/17/21,62164,53699,0
United States,03/16/21,54207,53194,0
United States,03/15/21,43386,53189,0
United States,03/14/21,42024,53035,0
United States,03/13/21,52400,53011,0
United States,03/12/21,62160,53444,0
United States,03/11/21,59554,53429,0
United States,03/10/21,58627,54150,0
United States,03/09/21,54177,55158,891
United States,03/08/21,42303,55220,0
United States,03/07/21,41859,56409,0
United States,03/06/21,55434,57419,0
United States,03/05/21,62055,58910,0
United States,03/04/21,64596,60216,0
United States,03/03/21,65688,60961,0
United States,03/02/21,54605,61914,0
United States,03/01/21,50626,64341,0
United States,02/28/21,48934,64991,0
United States,02/27/21,65869,65434,0
United States,02/26/21,71196,65182,0
United States,02/25/21,69812,65003,0
United States,02/24/21,72357,64956,0
United States,02/23/21,71598,64143,0
United States,02/22/21,55171,62033,0
United States,02/21/21,52035,62081,0
United States,02/20/21,64107,63537,0
United States,02/19/21,69944,65924,0
United States,02/18/21,69482,69432,0
United States,02/17/21,66667,73425,0
United States,02/16/21,56830,78235,0
United States,02/15/21,55508,83319,0
United States,02/14/21,62225,86690,0
United States,02/13/21,80815,89508,0
United States,02/12/21,94499,93097,0
United States,02/11/21,97436,97005,0
United States,02/10/21,100338,100675,0
United States,02/09/21,92413,102986,0
United States,02/08/21,79106,106268,0
United States,02/07/21,81953,112561,0
United States,02/06/21,105938,115458,0
United States,02/05/21,121852,119206,0
United States,02/04/21,123125,124609,0
United States,02/03/21,116519,129540,0
United States,02/02/21,115383,136342,0
United States,02/01/21,123163,140839,0
United States,01/31/21,102228,140643,0
United States,01/30/21,132172,145285,0
United States,01/29/21,159673,149758,0
United States,01/28/21,157643,154208,0
United States,01/27/21,164138,159876,0
United States,01/26/21,146856,164084,0
United States,01/25/21,121795,164149,0
United States,01/24/21,134722,166883,0
United States,01/23/21,163482,170945,0
United States,01/22/21,190825,176889,0
United States,01/21/21,197319,182431,0
United States,01/20/21,193594,186856,0
United States,01/19/21,147310,193537,584
United States,01/18/21,140935,202527,0
United States,01/17/21,163154,209690,0
United States,01/16/21,205086,216043,0
United States,01/15/21,229622,221813,0
United States,01/14/21,228294,230910,0
United States,01/13/21,240363,239524,0
United States,01/12/21,210237,247385,0
United States,01/11/21,191077,252726,0
United States,01/10/21,207624,253681,0
United States,01/09/21,245480,249618,0
United States,01/08/21,293295,243522,0
United States,01/07/21,288597,232609,0
United States,01/06/21,295389,231196,0
United States,01/05/21,247622,228464,0
United States,01/04/21,197765,224995,0
United States,01/03/21,179184,223529,0
United States,01/02/21,202808,215014,0
United States,01/01/21,216903,205989,0
United States,12/31/20,278704,197345,0
United States,12/30/20,276265,188695,0
United States,12/29/20,223340,183978,0
United States,12/28/20,187502,180227,0
United States,12/27/20,119582,177861,0
United States,12/26/20,139632,186388,0
United States,12/25/20,156396,195587,0
United States,12/24/20,218152,207524,0
United States,12/23/20,243246,211089,0
United States,12/22/20,197079,210417,0
United States,12/21/20,170941,210604,0
United States,12/20/20,179274,213458,0
United States,12/19/20,204024,214289,0
United States,12/18/20,239957,217110,0
United States,12/17/20,243108,219124,0
United States,12/16/20,238539,216497,0
United States,12/15/20,198388,215791,0
United States,12/14/20,190920,220359,0
United States,12/13/20,185093,219612,0
United States,12/12/20,223770,218574,0
United States,12/11/20,254055,217118,0
United States,12/10/20,224718,215263,0
United States,12/09/20,233594,217620,0
United States,12/08/20,230368,216852,0
United States,12/07/20,185686,213618,0
United States,12/06/20,177828,209816,0
United States,12/05/20,213579,204797,0
United States,12/04/20,241071,194468,0
United States,12/03/20,241215,183941,0
United States,12/02/20,228221,171458,0
United States,12/01/20,207729,167924,0
United States,11/30/20,159072,164177,0
United States,11/29/20,142698,164708,0
United States,11/28/20,141271,166268,0
United States,11/27/20,167383,171223,0
United States,11/26/20,153834,175914,0
United States,11/25/20,203481,182183,0
United States,11/24/20,181504,179685,0
United States,11/23/20,162789,178610,0
United States,11/22/20,153616,176956,0
United States,11/21/20,175959,174821,0
United States,11/20/20,200219,173389,0
United States,11/19/20,197719,171201,0
United States,11/18/20,185993,167093,0
United States,11/17/20,173975,163680,0
United States,11/16/20,151214,161034,0
United States,11/15/20,138672,157253,0
United States,11/14/20,165933,153083,0
United States,11/13/20,184904,148210,0
United States,11/12/20,168966,141834,0
United States,11/11/20,162099,136248,0
United States,11/10/20,155451,130327,0
United States,11/09/20,124752,123064,0
United States,11/08/20,109477,117727,0
United States,11/07/20,131827,112905,0
United States,11/06/20,140267,107325,0
United States,11/05/20,129865,101426,0
United States,11/04/20,120651,96236,0
United States,11/03/20,104612,91530,0
United States,11/02/20,87393,88003,0
United States,11/01/20,75723,85478,67475
United States,10/31/20,92766,83550,0
United States,10/30/20,98976,80874,0
United States,10/29/20,93531,78217,0
United States,10/28/20,87711,75796,0
United States,10/27/20,79924,73703,0
United States,10/26/20,69715,71084,0
United States,10/25/20,62228,69803,0
United States,10/24/20,74036,67686,0
United States,10/23/20,80377,65040,0
United States,10/22/20,76586,63736,0
United States,10/21/20,73055,61968,0
United States,10/20/20,61591,60350,0
United States,10/19/20,60753,59421,0
United States,10/18/20,47406,57455,0
United States,10/17/20,55514,56862,0
United States,10/16/20,71248,56681,0
United States,10/15/20,64214,54966,0
United States,10/14/20,61726,53816,0
United States,10/13/20,55088,53252,0
United States,10/12/20,46992,51747,0
United States,10/11/20,43258,50875,0
United States,10/10/20,54244,49523,0
United States,10/09/20,59241,48850,0
United States,10/08/20,56168,47742,0
United States,10/07/20,57774,46639,0
United States,10/06/20,44558,45276,0
United States,10/05/20,40883,44814,0
United States,10/04/20,33796,44487,0
United States,10/03/20,49535,44359,0
United States,10/02/20,51484,43071,0
United States,10/01/20,48445,42931,0
United States,09/30/20,48232,42622,0
United States,09/29/20,41326,41972,0
United States,09/28/20,38594,43482,0
United States,09/27/20,32899,43799,0
United States,09/26/20,40518,43586,0
United States,09/25/20,50505,43627,0
United States,09/24/20,46286,43233,0
United States,09/23/20,43676,43231,0
United States,09/22/20,51899,43558,0
United States,09/21/20,40813,41643,0
United States,09/20/20,31409,40654,0
United States,09/19/20,40803,40484,0
United States,09/18/20,47750,40276,0
United States,09/17/20,46270,39852,0
United States,09/16/20,45963,39104,0
United States,09/15/20,38498,38134,0
United States,09/14/20,33891,36676,0
United States,09/13/20,30218,35207,0
United States,09/12/20,39343,35150,0
United States,09/11/20,44782,35323,0
United States,09/10/20,41038,36036,0
United States,09/09/20,39174,36676,0
United States,09/08/20,28286,37365,0
United States,09/07/20,23614,38960,0
United States,09/06/20,29815,40866,0
United States,09/05/20,40552,41270,0
United States,09/04/20,49779,41242,0
United States,09/03/20,45513,40528,0
United States,09/02/20,43996,40882,1705
United States,09/01/20,39457,41402,0
United States,08/31/20,36952,41568,0
United States,08/30/20,32642,41310,0
United States,08/29/20,40357,41293,0
United States,08/28/20,44785,41341,0
United States,08/27/20,47988,41491,0
United States,08/26/20,47633,41274,0
United States,08/25/20,40620,41279,0
United States,08/24/20,35150,41420,0
United States,08/23/20,32523,41821,0
United States,08/22/20,40694,42481,0
United States,08/21/20,45833,42973,0
United States,08/20/20,46470,44008,0
United States,08/19/20,47664,44819,0
United States,08/18/20,41606,45406,0
United States,08/17/20,37960,46928,0
United States,08/16/20,37143,47313,0
United States,08/15/20,44135,47902,0
United States,08/14/20,53083,48761,0
United States,08/13/20,52146,49586,0
United States,08/12/20,51775,50332,0
United States,08/11/20,52254,51394,0
United States,08/10/20,40657,51519,0
United States,08/09/20,41269,52157,0
United States,08/08/20,50146,53016,0
United States,08/07/20,58855,53877,0
United States,08/06/20,57373,54926,0
United States,08/05/20,59209,56123,0
United States,08/04/20,53127,57102,0
United States,08/03/20,45125,57931,0
United States,08/02/20,47279,58746,0
United States,08/01/20,56175,59798,0
United States,07/31/20,66198,60098,0
United States,07/30/20,65753,61011,0
United States,07/29/20,66060,61914,0
United States,07/28/20,58928,62578,0
United States,07/27/20,50829,63159,0
United States,07/26/20,54648,64405,0
United States,07/25/20,58276,64893,0
United States,07/24/20,72589,66409,0
United States,07/23/20,72070,67218,0
United States,07/22/20,70709,67557,0
United States,07/21/20,62995,68118,0
United States,07/20/20,59554,68522,0
United States,07/19/20,58063,67845,0
United States,07/18/20,68884,68162,0
United States,07/17/20,78251,68473,0
United States,07/16/20,74444,67963,0
United States,07/15/20,74637,67423,0
United States,07/14/20,65822,66511,0
United States,07/13/20,54814,65832,0
United States,07/12/20,60288,64562,0
United States,07/11/20,71057,61870,0
United States,07/10/20,74684,59313,0
United States,07/09/20,70665,57758,0
United States,07/08/20,68252,56197,0
United States,07/07/20,61068,55303,0
United States,07/06/20,45921,53419,0
United States,07/05/20,41446,52455,0
United States,07/04/20,53155,52584,0
United States,07/03/20,63801,51878,0
United States,07/02/20,59741,50266,0
United States,07/01/20,61995,49278,0
United States,06/30/20,47880,46288,0
United States,06/29/20,39173,45044,0
United States,06/28/20,42344,43730,0
United States,06/27/20,48212,41891,0
United States,06/26/20,52520,40263,0
United States,06/25/20,52828,37919,0
United States,06/24/20,41064,34974,0
United States,06/23/20,39167,33332,0
United States,06/22/20,29975,31612,0
United States,06/21/20,29476,30392,0
United States,06/20/20,36813,29150,0
United States,06/19/20,36110,27580,0
United States,06/18/20,32216,26679,0
United States,06/17/20,29567,25555,0
United States,06/16/20,27130,24847,0
United States,06/15/20,21437,23782,0
United States,06/14/20,20781,23262,0
United States,06/13/20,25824,22877,0
United States,06/12/20,29802,22587,0
United States,06/11/20,24348,21938,0
United States,06/10/20,24611,21790,0
United States,06/09/20,19676,21564,0
United States,06/08/20,17797,21806,0
United States,06/07/20,18084,21658,0
United States,06/06/20,23797,22007,0
United States,06/05/20,25258,22079,0
United States,06/04/20,23310,22017,0
United States,06/03/20,23026,22403,0
United States,06/02/20,21372,22232,0
United States,06/01/20,16764,21411,0
United States,05/31/20,20524,21651,0
United States,05/30/20,24304,21803,0
United States,05/29/20,24820,21333,0
United States,05/28/20,26012,21601,0
United States,05/27/20,21834,21636,0
United States,05/26/20,15624,22189,0
United States,05/25/20,18444,23056,0
United States,05/24/20,21583,23922,0
United States,05/23/20,21014,23610,0
United States,05/22/20,26699,24329,0
United States,05/21/20,26255,24482,0
United States,05/20/20,25704,25012,0
United States,05/19/20,21693,24712,0
United States,05/18/20,24512,25126,0
United States,05/17/20,19395,24409,0
United States,05/16/20,26048,24682,0
United States,05/15/20,27770,24691,0
United States,05/14/20,29968,24844,0
United States,05/13/20,23604,25115,0
United States,05/12/20,24588,25244,0
United States,05/11/20,19493,25080,0
United States,05/10/20,21303,25319,0
United States,05/09/20,26112,26318,0
United States,05/08/20,28842,26580,0
United States,05/07/20,31864,26769,0
United States,05/06/20,24510,26860,0
United States,05/05/20,23441,27486,0
United States,05/04/20,21163,27515,0
United States,05/03/20,28299,27950,0
United States,05/02/20,27943,27905,0
United States,05/01/20,30164,28696,0
United States,04/30/20,32500,29239,0
United States,04/29/20,28892,29259,0
United States,04/28/20,23650,29608,0
United States,04/27/20,24207,29804,0
United States,04/26/20,27985,30085,0
United States,04/25/20,33479,30087,0
United States,04/24/20,33963,29270,0
United States,04/23/20,32640,28748,0
United States,04/22/20,31332,28613,0
United States,04/21/20,25026,27816,0
United States,04/20/20,26170,27884,0
United States,04/19/20,28002,27741,0
United States,04/18/20,27762,27680,0
United States,04/17/20,30307,28346,0
United States,04/16/20,31695,28617,0
United States,04/15/20,25752,29074,0
United States,04/14/20,25501,30198,0
United States,04/13/20,25171,30855,0
United States,04/12/20,27574,31342,0
United States,04/11/20,32423,31308,0
United States,04/10/20,32207,31322,0
United States,04/09/20,34894,31254,0
United States,04/08/20,33617,30582,0
United States,04/07/20,30104,29875,0
United States,04/06/20,28577,28879,0
United States,04/05/20,27335,27902,0
United States,04/04/20,32523,27053,0
United States,04/03/20,31734,25382,0
United States,04/02/20,30189,23805,0
United States,04/01/20,28667,22263,0
United States,03/31/20,23128,20290,0
United States,03/30/20,21742,18739,0
United States,03/29/20,21389,17261,0
United States,03/28/20,20828,15868,0
United States,03/27/20,20695,14330,0
United States,03/26/20,19394,12556,0
United States,03/25/20,14859,10817,0
United States,03/24/20,12268,9564,0
United States,03/23/20,11399,8390,0
United States,03/22/20,11638,7181,0
United States,03/21/20,10057,5920,0
United States,03/20/20,8282,4748,0
United States,03/19/20,7216,3760,0
United States,03/18/20,6092,2893,0
United States,03/17/20,4048,2144,0
United States,03/16/20,2939,1663,0
United States,03/15/20,2809,1328,0
United States,03/14/20,1853,977,0
United States,03/13/20,1367,750,0
United States,03/12/20,1144,586,0
United States,03/11/20,853,446,0
United States,03/10/20,676,345,0
United States,03/09/20,596,272,0
United States,03/08/20,355,198,0
United States,03/07/20,262,160,0
United States,03/06/20,218,128,0
United States,03/05/20,165,104,0
United States,03/04/20,143,85,0
United States,03/03/20,171,71,0
United States,03/02/20,78,50,0
United States,03/01/20,86,42,0
United States,02/29/20,36,33,0
United States,02/28/20,51,31,0
United States,02/27/20,35,26,0
United States,02/26/20,44,23,0
United States,02/25/20,24,20,0
United States,02/24/20,19,17,0
United States,02/23/20,23,17,0
United States,02/22/20,26,16,0
United States,02/21/20,17,13,0
United States,02/20/20,14,11,0
United States,02/19/20,17,10,0
United States,02/18/20,7,9,0
United States,02/17/20,18,9,0
United States,02/16/20,13,8,0
United States,02/15/20,5,10,0
United States,02/14/20,6,11,0
United States,02/13/20,6,11,0
United States,02/12/20,8,10,0
United States,02/11/20,9,10,0
United States,02/10/20,9,9,0
United States,02/09/20,33,12,0
United States,02/08/20,8,7,0
United States,02/07/20,5,7,0
United States,02/06/20,2,6,0
United States,02/05/20,5,6,0
United States,02/04/20,7,5,0
United States,02/03/20,26,4,474
United States,02/02/20,0,1,0
United States,02/01/20,4,1,0
United States,01/31/20,3,1,0
United States,01/30/20,0,0,0
United States,01/29/20,0,0,0
United States,01/28/20,1,1,0
United States,01/27/20,0,1,0
United States,01/26/20,3,1,0
United States,01/25/20,0,1,0
United States,01/24/20,1,1,0
United States,01/23/20,1,1,0